,p5,median,p95
1864.5,0.02931325694254531,0.039788976278924124,0.05590137359010554
1865.5,0.029819481197176756,0.04046457037158442,0.056919968859057674
1866.5,0.030334199234801226,0.041143459232358695,0.05798512953127631
1867.5,0.030847768294418237,0.04183368555391842,0.05906432032819027
1868.5,0.03137019002441829,0.042547388833180266,0.06013149761976372
1869.5,0.03190206839213226,0.043283277656945424,0.061170313362526235
1870.5,0.03243708176185867,0.04402953150940811,0.062203962135947415
1871.5,0.032973415685044694,0.0447899796462123,0.06323889514296353
1872.5,0.033508815556795454,0.045550806120140244,0.06427068447371477
1873.5,0.034053735322658756,0.04630424618489856,0.06532046183380696
1874.5,0.03461734794785068,0.0470727395892129,0.06641240675578639
1875.5,0.035193474288303626,0.04785546366181373,0.06755126336792892
1876.5,0.035776966752276984,0.04865657302760876,0.06872252220491731
1877.5,0.03636926421616812,0.04947811746591796,0.06991283038438212
1878.5,0.03697174413303607,0.05030061421849606,0.07112267668770468
1879.5,0.03758862797943179,0.05114023556437614,0.07236222661360336
1880.5,0.038224608506599166,0.052026781425388795,0.07364425054222536
1881.5,0.038880903127778935,0.0529400516173887,0.07494047270366505
1882.5,0.03955479837160926,0.05385809285653989,0.07624614794861334
1883.5,0.04024032048265974,0.05478440107562911,0.07757964906627805
1884.5,0.040937736683809345,0.055733246212394484,0.07893490095339323
1885.5,0.04165294475837918,0.05672014727908368,0.08031705983136658
1886.5,0.04238347382031245,0.05773590559890923,0.08173037120110699
1887.5,0.043130909792577,0.058774885991661543,0.0831777034972823
1888.5,0.043907549402352225,0.05984396798428608,0.08467200348458193
1889.5,0.044709441398349446,0.060944928279815166,0.086212430519468
1890.5,0.045530371984634936,0.062071781857827635,0.08778379833696914
1891.5,0.04636716848165815,0.06321716764969669,0.08937763182794213
1892.5,0.04721027442508548,0.06436882668790152,0.09100153367257409
1893.5,0.048058385109225624,0.06552183929536229,0.0926431091228217
1894.5,0.048920047211509374,0.06669106597743615,0.09429326538917844
1895.5,0.049801260906103866,0.06788731061096973,0.09597547412026843
1896.5,0.05069415445303679,0.06909855208530863,0.09769025978038301
